# timestamp x y z roll pitch yaw
1577858937370357 -854.450514 -491.360257 5.345415 0.006035 -0.004342 2.334492
1577858937380277 -854.450514 -491.360257 5.345415 0.006035 -0.004342 2.334492
1577858937391395 -854.609335 -491.194441 5.344929 0.006035 -0.003960 2.334496
1577858937402189 -854.732807 -491.073515 5.343849 0.006227 -0.003771 2.334690
1577858937413229 -854.768156 -491.028605 5.346443 0.006227 -0.003771 2.334690
1577858937423903 -854.891627 -490.907680 5.345362 0.006609 -0.003390 2.334694
1577858937434276 -854.932868 -490.855290 5.347889 0.006800 -0.003390 2.334694
1577858937445048 -855.056340 -490.734364 5.346808 0.006800 -0.003390 2.334694
1577858937456352 -855.091689 -490.689463 5.348403 0.007372 -0.003390 2.334694
1577858937466407 -855.215161 -490.568538 5.347322 0.007372 -0.003390 2.334694
1577858937476708 -855.250510 -490.523637 5.348917 0.008326 -0.003581 2.334692
1577858937487420 -855.373982 -490.402712 5.347836 0.008707 -0.003771 2.334690
1577858937498302 -855.432644 -490.364060 5.348497 0.009470 -0.004344 2.334684
1577858937509028 -855.582755 -490.191374 5.348944 0.009470 -0.004534 2.334682
1577858937519462 -855.697516 -490.063589 5.347796 0.009471 -0.004535 2.334873
1577858937529470 -855.697515 -490.063570 5.349795 0.009853 -0.004917 2.334869
1577858937540322 -855.741576 -490.025539 5.350457 0.010043 -0.005108 2.334867
1577858937551222 -855.862228 -489.890254 5.351241 0.010425 -0.005871 2.334860
1577858937561416 -856.021049 -489.724428 5.351755 0.010234 -0.006443 2.334854
1577858937572758 -856.065109 -489.686407 5.351417 0.010043 -0.006824 2.334850
1577858937583457 -856.179871 -489.558621 5.350269 0.009662 -0.007587 2.334843
1577858937594617 -856.229823 -489.513119 5.349863 0.009662 -0.007778 2.334841
1577858937605245 -856.344584 -489.385324 5.349714 0.009089 -0.008540 2.334643
1577858937616068 -856.388644 -489.347293 5.350377 0.009089 -0.008922 2.334639
1577858937626678 -856.503404 -489.219489 5.351228 0.008898 -0.009494 2.334633
1577858937637264 -856.547465 -489.181458 5.351890 0.008898 -0.009494 2.334633
1577858937647998 -856.668117 -489.046173 5.352674 0.008899 -0.010067 2.334818
1577858937658942 -856.826938 -488.880356 5.352187 0.008901 -0.010641 2.335005
1577858937670078 -856.826937 -488.880338 5.354187 0.008901 -0.010641 2.335005
1577858937680960 -856.985758 -488.714512 5.354701 0.009092 -0.011214 2.334999
1577858937691726 -857.029819 -488.676490 5.354363 0.009092 -0.011214 2.334999
1577858937702268 -857.150470 -488.541187 5.357147 0.009283 -0.011406 2.335189
1577858937712459 -857.159181 -488.548047 5.357215 0.009283 -0.011406 2.335189
1577858937723018 -857.309291 -488.375342 5.359660 0.009475 -0.011408 2.335381
1577858937733836 -857.353351 -488.337311 5.360323 0.009475 -0.011408 2.335381
1577858937744722 -857.468111 -488.209497 5.362173 0.009857 -0.011408 2.335381
1577858937755258 -857.512171 -488.171466 5.362836 0.009858 -0.011410 2.335572
1577858937765976 -857.632823 -488.036172 5.364620 0.010048 -0.011410 2.335572
1577858937776916 -857.676883 -487.998141 5.365281 0.010048 -0.011410 2.335572
1577858937787334 -857.791644 -487.870337 5.366133 0.010239 -0.011410 2.335572
1577858937797822 -857.835704 -487.832306 5.366795 0.010239 -0.011410 2.335572
1577858937808768 -857.994525 -487.666471 5.368309 0.010432 -0.011222 2.335766
1577858937818844 -858.123888 -487.538055 5.368160 0.010432 -0.011222 2.335766
1577858937829189 -858.123886 -487.538027 5.371160 0.010432 -0.011222 2.335766
1577858937839261 -858.176657 -487.506856 5.371890 0.010432 -0.011222 2.335766
1577858937850290 -858.282707 -487.372183 5.373673 0.010622 -0.011222 2.335766
1577858937861117 -858.335477 -487.341011 5.374403 0.010622 -0.011222 2.335766
1577858937871962 -858.441527 -487.206338 5.376187 0.010622 -0.011222 2.335766
1577858937882048 -858.591637 -487.033643 5.377632 0.010813 -0.011222 2.335766
